group,order,x,y,NAME,CityType,Pop2010,Land_sqmi,oz_name
1,257,-117.7080078,33.82572365,Anaheim,City,336265,49.84000015,ANAHEIM
1,258,-117.7112083,33.82822609,Anaheim,City,336265,49.84000015,ANAHEIM
1,259,-117.7120934,33.82945442,Anaheim,City,336265,49.84000015,ANAHEIM
1,260,-117.7136955,33.82839775,Anaheim,City,336265,49.84000015,ANAHEIM
1,261,-117.7158871,33.83046532,Anaheim,City,336265,49.84000015,ANAHEIM
1,262,-117.7176628,33.83139229,Anaheim,City,336265,49.84000015,ANAHEIM
1,263,-117.7196598,33.8313961,Anaheim,City,336265,49.84000015,ANAHEIM
1,264,-117.7192535,33.83355141,Anaheim,City,336265,49.84000015,ANAHEIM
1,265,-117.7193489,33.83504295,Anaheim,City,336265,49.84000015,ANAHEIM
1,266,-117.7201061,33.8362484,Anaheim,City,336265,49.84000015,ANAHEIM
1,267,-117.7212887,33.83894157,Anaheim,City,336265,49.84000015,ANAHEIM
1,268,-117.7207336,33.84124947,Anaheim,City,336265,49.84000015,ANAHEIM
1,269,-117.7212677,33.84311867,Anaheim,City,336265,49.84000015,ANAHEIM
1,270,-117.722189,33.84333992,Anaheim,City,336265,49.84000015,ANAHEIM
1,271,-117.723093,33.84441948,Anaheim,City,336265,49.84000015,ANAHEIM
1,272,-117.7241879,33.84656334,Anaheim,City,336265,49.84000015,ANAHEIM
1,273,-117.7255974,33.84666634,Anaheim,City,336265,49.84000015,ANAHEIM
1,274,-117.7272873,33.84762382,Anaheim,City,336265,49.84000015,ANAHEIM
1,275,-117.729063,33.84556007,Anaheim,City,336265,49.84000015,ANAHEIM
1,276,-117.7321129,33.84267998,Anaheim,City,336265,49.84000015,ANAHEIM
1,277,-117.7328644,33.84396172,Anaheim,City,336265,49.84000015,ANAHEIM
1,278,-117.7395782,33.8354969,Anaheim,City,336265,49.84000015,ANAHEIM
1,279,-117.7441959,33.82902336,Anaheim,City,336265,49.84000015,ANAHEIM
1,280,-117.7471123,33.82570457,Anaheim,City,336265,49.84000015,ANAHEIM
1,281,-117.7518787,33.82625008,Anaheim,City,336265,49.84000015,ANAHEIM
1,282,-117.7539425,33.8268528,Anaheim,City,336265,49.84000015,ANAHEIM
1,283,-117.7605286,33.827631,Anaheim,City,336265,49.84000015,ANAHEIM
